Date,MARA,RIOT,SMCI,SOFI,RIVN
2023-03-28,18648200,15540800,20761000,23185400,16396700.0
2023-03-29,36010000,23697500,13826000,28461800,34237300.0
2023-03-30,25958500,18406900,12857000,25094700,24339700.0
2023-03-31,36159700,26859600,12560000,41786800,38244700.0
2023-04-03,25824800,17409600,18587000,32121400,26714500.0
2023-04-04,23882300,14720300,17407000,19465200,21953000.0
2023-04-05,27754500,15953300,8392000,30541900,19066500.0
2023-04-06,15392500,12719100,33959000,25308100,14752500.0
2023-04-10,42370900,30153900,13198000,21151200,14468600.0
2023-04-11,63439500,55029300,10210000,26455400,14668600.0
2023-04-12,43348600,48039100,14954000,35905000,23278000.0
2023-04-13,57539100,44153800,12298000,20527100,13000500.0
2023-04-14,54369900,30831200,9470000,24086000,36941100.0
2023-04-17,29146900,19850200,7951000,24908100,24478200.0
2023-04-18,41896300,26531200,15251000,17036300,19327200.0
